School_ID	Legacy_Unit_ID	Finance_ID	Short_Name	Long_Name	School_Type	Primary_Category	Is_High_School	Is_Middle_School	Is_Elementary_School	Is_Pre_School	Summary	Administrator_Title	Administrator	Secondary_Contact_Title	Secondary_Contact	Address	City	State	Zip	Phone	Fax	CPS_School_Profile	Website	Facebook	Twitter	Youtube	Pinterest	Attendance_Boundaries	Grades_Offered_All	Grades_Offered	Student_Count_Total	Student_Count_Low_Income	Student_Count_Special_Ed	Student_Count_English_Learners	Student_Count_Black	Student_Count_Hispanic	Student_Count_White	Student_Count_Asian	Student_Count_Native_American	Student_Count_Other_Ethnicity	Student_Count_Asian_Pacific_Islander	Student_Count_Multi	Student_Count_Hawaiian_Pacific_Islander	Student_Count_Ethnicity_Not_Available	Statistics_Description	Demographic_Description	ADA_Accessible	Dress_Code	PreK_School_Day	Kindergarten_School_Day	School_Hours	Freshman_Start_End_Time	After_School_Hours	Earliest_Drop_Off_Time	Classroom_Languages	Bilingual_Services	Refugee_Services	Title_1_Eligible	PreSchool_Inclusive	Preschool_Instructional	Significantly_Modified	Hard_Of_Hearing	Visual_Impairments	Transportation_Bus	Transportation_El	Transportation_Metra	School_Latitude	School_Longitude	Average_ACT_School	Mean_ACT	College_Enrollment_Rate_School	College_Enrollment_Rate_Mean	Graduation_Rate_School	Graduation_Rate_Mean	Overall_Rating	Rating_Status	Rating_Statement	Classification_Description	School_Year	Third_Contact_Title	Third_Contact_Name	Fourth_Contact_Title	Fourth_Contact_Name	Fifth_Contact_Title	Fifth_Contact_Name	Sixth_Contact_Title	Sixth_Contact_Name	Seventh_Contact_Title	Seventh_Contact_Name	Location	Longitude	Latitude
609764	1890	46421	JUAREZ HS	Benito Juarez Community Academy High School	Neighborhood	HS	Y	N	N	N	"Juarez offers a particularly wide array of academic and career preparation programs, including college credit and enrollment, aimed at teaching students to think critically, progressively and globally."	Principal	Juan Carlos Ocon	Assistant Principal	Keith Adams	1450 W CERMAK RD	Chicago	Illinois	60608	7735347030	7735347058	http://cps.edu/Schools/Pages/school.aspx?SchoolID=609764	http://www.benitojuarez.net					Y	"9,10,11,12"	41893	1739	1659	281	331	58	1644	12	5	6	0	0	3	0	11	There are 1739 students enrolled at JUAREZ HS.  95.4% are Low Income Students.  16.2% are Diverse Learners.  19% are Limited English Learners.	The largest demographic at JUAREZ HS is Hispanic.  This demographic makes up 94.5% of the student population.  The second greatest demographic is Black at 3.3%.	Generally accessible	N			7:45  AM - 2:35  PM	7:45 a.m. - 2:45 p.m.	2:40 to 8:00 P.M.	7:00 A.M	"French, Spanish"	Y	Y	Y						"9, 21, 60"	"Blue, Pink, Red"		41.852667	-87.663732	16.5	18.4	50.6	57.9	80.9	73.5	Level 2+	Good Standing	"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp ."	"Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area."	School Year 2016-2017	Assistant Principal	Nicholas Aquino	IB Coordinator	Santiago Marquez							"1450 W CERMAK RD
Chicago, Illinois 60608
(41.852667, -87.663732)"	41.85266	-87.66373
400054	1931	66142	NOBLE - PRITZKER HS	Noble - Pritzker College Prep	Charter	HS	Y	N	N	N	"We have been accepted as an IB School, and as such our students are now able to take part in their internationally acclaimed diploma programme. Â   Â   Pritzker takes great pride in creating a holistic high school experience for our students.Â  As one of the larger schools in our network, we have the opportunity to offer over 11 AP classes annually (7 in STEM subjects), more than 15 varsity sports, and over 50 clubs and enrichment opportunities.Â "	Director	Ms. Carrie Spitz	Principal	Carrie Spitz	4131 W CORTLAND ST	Chicago	Illinois	60639	7733942848	7733942931	http://cps.edu/Schools/Pages/school.aspx?SchoolID=400054	http://www.pritzkercollegeprep.org	https://www.facebook.com/benoblepritzker	http://twitter.com/benoblepritzker			N	"9,10,11,12"	41893	992	936	106	120	30	945	9	1	5	0	0	2	0	0	There are 992 students enrolled at NOBLE - PRITZKER HS.  94.4% are Low Income Students.  10.7% are Diverse Learners.  12.1% are Limited English Learners.	The largest demographic at NOBLE - PRITZKER HS is Hispanic.  This demographic makes up 95.3% of the student population.  The second greatest demographic is Black at 3%.	Generally accessible	Y			M - R 8:05AM. - 3:50PM  F 8:05- 1:30PM	.	4:00PM-5:30PM	7:00AM	"Russian, Spanish"	N	N	Y						"53, 72, 73"	"Blue, Brown"		41.915214	-87.730127	21.9	18.4	85.7	57.9	90.3	73.5	Level 1+	Not Applicable	"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp ."	"Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable."	School Year 2016-2017											"4131 W CORTLAND ST
Chicago, Illinois 60639
(41.915214, -87.730127)"	41.91521	-87.73012
609726	1500	47051	BROOKS HS	Gwendolyn Brooks College Preparatory Academy HS	Selective enrollment	HS	Y	Y	N	N	"Brooks prepares students to be global leaders through a rigorous and enriched academic experience, utilizing such strategies as cooperative learning and inquiry requiring higher-order thinking skills."	Principal	Ms.Shannae Bea Jackson	Assistant Principal	Shannae Jackson	250 E 111TH ST	Chicago	Illinois	60628	7735359930	7735359939	http://cps.edu/Schools/Pages/school.aspx?SchoolID=609726	http://www.brookscollegeprep.org		https://twitter.com/BrooksPrepCSL			N	"7,8,9,10,11,12"	41831	959	692	59	2	757	175	7	1	2	0	0	7	2	8	There are 959 students enrolled at BROOKS HS.  72.2% are Low Income Students.  6.2% are Diverse Learners.  0.2% are Limited English Learners.	The largest demographic at BROOKS HS is Black.  This demographic makes up 78.9% of the student population.  The second greatest demographic is Hispanic at 18.2%.	Fully Accessible	N			8:00 AM - 3:30 PM	8:00 a.m. - 3:35 p.m.		0.270833333	"French, Spanish"	N	N	Y			Y			34111119	Orange	Metra Electric District (ME)	41.692763	-87.616353	22.5	18.4	85.1	57.9	93.4	73.5	Level 1+	Good Standing	"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp ."	Schools that offer a rigorous curriculum with mainly honors and Advanced Placement (AP) courses. Acceptance based on application and entrance exam.	School Year 2016-2017	Assistant Principal	Daniel Bauer									"250 E 111TH ST
Chicago, Illinois 60628
(41.692763, -87.616353)"	41.69276	-87.61635
400094	8058	63081	EPIC HS	EPIC Academy Charter High School	Charter	HS	Y	N	N	N	"EPIC inspires students to dream their future, research the steps required to reach it and provide belief-altering experiences that broaden their vision of what is possible. EPIC students receive a rigorous core of collegeÂ preparatory curriculum.Â   EPIC students achievements since opening in 2009: - Increased ACT 1.3 points to a 17.6 in 2016 - 100% College Acceptance, 2013-2016 - Class of 2016 received $7.2 million in scholarships - 60% of students received a scholarship - 3 Year Entrepreneurship program: 2 NFTE city-wide champions - Two GatesÂ Millennium Scholarship winner - One Posse Scholarship winner - Dual Enrollment: 32% of Class of 2016 earned college creditsÂ   At EPIC, each semester ends with Intensives: full-day,Â week-long courses to introduce careers ourÂ students may have never considered. Every Intensive course features partnerships with professionals. Here are a few course examples (and companies): â€¢ Architecture (SOM)Â â€¢ Airlines (Southwest Airlines)Â â€¢ Engineering (SPACECO)Â â€¢ Hotel Industry (Hilton Hotels)Â â€¢ Law (DLA Piper)Â â€¢ Marketing (Groupon)Â â€¢ Restaurants (McDonald's)Â â€¢ Sports Management (Chicago Bulls)"	Director	Tawanna Patton	Executive Director	Myetie Hamilton	8255 S HOUSTON AVE	Chicago	Illinois	60617	7735357930	7735537934	http://cps.edu/Schools/Pages/school.aspx?SchoolID=400094	http://www.epicacademy.org	https://www.facebook.com/EPICAcademyHighSchool	https://twitter.com/EPIC_Academy			N	"9,10,11,12"	41893	523	491	117	72	331	186	2	0	0	0	0	4	0	0	There are 523 students enrolled at EPIC HS.  93.9% are Low Income Students.  22.4% are Diverse Learners.  13.8% are Limited English Learners.	The largest demographic at EPIC HS is Black.  This demographic makes up 63.3% of the student population.  The second greatest demographic is Hispanic at 35.6%.	Generally accessible	Y			8:10 AM-3:50 PM	8:20 a.m. - 3:50 p.m.			Spanish	Y	N	Y						"5, 26, 71"		Metra Electric District (ME)	41.744849	-87.550222	17.5	18.4	72.7	57.9	69.9	73.5	Level 1+	Not Applicable	"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp ."	"Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable."	School Year 2016-2017	Principal	Tawanna Patton	Assistant Principal	Josh Miller	Director of Specialized Services	Dan Grady	Director of External Relations and Recruitment	Demetrius Amparan	Alumni Counselor	Bejeray Morrison	"8255 S HOUSTON AVE
Chicago, Illinois 60617
(41.744849, -87.550222)"	41.74484	-87.55022
400175	9650	63143	CAMELOT - EXCEL SOUTHSHORE HS	Excel - Woodlawn HS	Citywide-Option	HS	Y	N	N	N	CPS School	Principal	Ms.Mary Bradley	Executive Director	Anthony Haley Jr.	7530 S SOUTH SHORE DR	Chicago	Illinois	60649	7739027800	7739027615	http://cps.edu/Schools/Pages/school.aspx?SchoolID=400175	http://cameloteducation.org/excel-academy-of-south-shore/					N	"9,10,11,12"	41893	99	91	22	2	88	11	0	0	0	0	0	0	0	0	There are 99 students enrolled at CAMELOT - EXCEL SOUTHSHORE HS.  91.9% are Low Income Students.  22.2% are Diverse Learners.  2% are Limited English Learners.	The largest demographic at CAMELOT - EXCEL SOUTHSHORE HS is Black.  This demographic makes up 88.9% of the student population.  The second greatest demographic is Hispanic at 11.1%.	No/unknown accessibility	Y			7:55 AM - 4:00 PM		4:00 PM - 5:45 PM	0.322916667				Y						"6, 26, 71, 75"	"Green, Red"		41.759749	-87.556487	13.8	18.4	8.3	57.9		73.5	Inability to Rate	Good Standing	This school did not have enough data for a 2015-2016 Performance Policy Rating.	Schools that have their own processes for enrollment.	School Year 2016-2017	Director of Operations	Juan Jones									"7530 S SOUTH SHORE DR
Chicago, Illinois 60649
(41.759749, -87.556487)"	41.75974	-87.55648
609755	1810	47101	YOUNG HS	Whitney M Young Magnet High School	Selective enrollment	HS	Y	Y	N	N	"Whitney Young High School consistently ranks among the highest performing schools in the nation (Washington Post, Newsweek, US News and World Report, Niche). Â Whitney Young boasts one of Illinoisâ€™ largest Advanced Placement programs, a high number of National Merit and National Achievement Finalists, and second place nationally in the Academic Decathlon."	Principal	Joyce Dorsey Kenner	Admissions Director	Augustina Bottari	211 S LAFLIN ST	Chicago	Illinois	60607	7735347500	7735347261	http://cps.edu/Schools/Pages/school.aspx?SchoolID=609755	http://www.wyoung.org	http://www.facebook.com/wmymhs	http://www.twitter.com/wyhs			N	"7,8,9,10,11,12"	41831	2156	891	144	23	461	644	609	343	7	0	0	83	9	0	There are 2156 students enrolled at YOUNG HS.  41.3% are Low Income Students.  6.7% are Diverse Learners.  1.1% are Limited English Learners.	The largest demographic at YOUNG HS is Hispanic.  This demographic makes up 29.9% of the student population.  The second greatest demographic is White at 28.2%.	Generally accessible	N			8:00  AM - 3:15  PM	8:00 a.m. - 3:15 p.m.	3:20 PM - 6:00 PM	0.291666667	"American Sign Language, Chinese, French, Japanese, Latin, Mandarin, Spanish, Spanish for Heritage Speakers"	Y	N	N			Y	Y		"9, 20, 126"	Blue		41.878603	-87.664233	27.9	18.4	85.2	57.9	96.2	73.5	Level 1+	Good Standing	"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp ."	Schools that offer a rigorous curriculum with mainly honors and Advanced Placement (AP) courses. Acceptance based on application and entrance exam.	School Year 2016-2017	Assistant Principal	Matthew Swanson	Assistant Principal	Melvin Soto	Assistant Principal	Lynn Zalon					"211 S LAFLIN ST
Chicago, Illinois 60607
(41.878603, -87.664233)"	41.87860	-87.66423
400156	9613	66576	NOBLE - BUTLER HS	Noble - Butler College Prep	Charter	HS	Y	N	N	N	Butler College Prep	Director	Mr. Christopher Goins			821 E 103RD ST	Chicago	Illinois	60628	7735355490	7734420343	http://cps.edu/Schools/Pages/school.aspx?SchoolID=400156	http://butlercollegeprep.noblenetwork.org	https://www.facebook.com/BeNobleButler	https://twitter.com/lynx_football	https://www.youtube.com/channel/UCM4ALWoM3edK2sC3RcCclVg		N	"9,10,11,12"	41893	654	602	131	12	625	22	0	0	0	0	0	3	1	3	There are 654 students enrolled at NOBLE - BUTLER HS.  92% are Low Income Students.  20% are Diverse Learners.  1.8% are Limited English Learners.	The largest demographic at NOBLE - BUTLER HS is Black.  This demographic makes up 95.6% of the student population.  The second greatest demographic is Hispanic at 3.4%.	No/unknown accessibility	Y			Mon - Thur 8AM - 4PM Fri - 8AM - 1PM		Mon - Thur 4PM - 6PM	7:30AM		N	N							"106, 103, 115"	Red	Metra Electric District (ME)	41.706667	-87.602573	19.2	18.4		57.9		73.5	Level 1+	Not Applicable	"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp ."	"Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable."	School Year 2016-2017											"821 E 103RD ST
Chicago, Illinois 60628
(41.706667, -87.602573)"	41.70666	-87.60257
609756	1820	53101	CURIE HS	Marie Sklodowska Curie Metropolitan High School	Magnet	HS	Y	N	N	N	"Curie offers an especially wide range of academic programs and supports, enabling students to become critical thinkers and productive citizens who will invest in their local and global communities."	Principal	Ms.Allison C Tingwall	Assistant Principal	Christopher Graves	4959 S ARCHER AVE	Chicago	Illinois	60632	7735352100	7735352049	http://cps.edu/Schools/Pages/school.aspx?SchoolID=609756	http://www.curiehs.org	https://www.facebook.com/curiehs	https://twitter.com/@CurieHS	https://www.youtube.com/channel/UCz07qu1z4geqrJJyxgXO57A		Y	"9,10,11,12"	41893	2924	2713	310	324	383	2377	64	76	12	0	0	11	1	0	There are 2924 students enrolled at CURIE HS.  92.8% are Low Income Students.  10.6% are Diverse Learners.  11.1% are Limited English Learners.	The largest demographic at CURIE HS is Hispanic.  This demographic makes up 81.3% of the student population.  The second greatest demographic is Black at 13.1%.	Generally accessible	N			7:30 AM-3:40 PM	8:25 AM - 3:40 PM	3:00 PM - 7:00 PM		"French, Mandarin, Spanish, Spanish for Heritage Speakers"	Y	N	Y				Y	Y	"53A, 62"	"Blue, Orange, Red"		41.80306	-87.722042	17.4	18.4	65.8	57.9	76	73.5	Level 2+	Good Standing	"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp ."	Schools that specialize in a specific subject area. Acceptance based on application and random lottery.	School Year 2016-2017	Assistant Principal	Starlet Miles	Assistant Principal	Sussan Oladipo	Assistant Principal	Homero PeÃ±uelas	Operations Manager	Patricia Wetherspoon			"4959 S ARCHER AVE
Chicago, Illinois 60632
(41.80306, -87.722042)"	41.80306	-87.72204
610518	1145	46621	AUSTIN CCA HS	Austin College and Career Academy High School	Small	HS	Y	N	N	N	"Austin College and Career Academy (ACCA) is a newly consolidated high school in the Austin community. ACCA serves to prepare students for college and/or career after high school. Our instructional focus is grounded in the comprehensive approach to academics, pre-engineering and skillÂ acquisition through our partnership with Manufacturing Connect, as well as the social-emotional well-being of students. The work at ACCA is led by one critical question: is it in the best interest of students?Â At ACCA, we strive to maintain and cultivate the historic TIGER PRIDE!Â "	Principal	Mrs.Patricia J Harper Reynolds	Assistant Principal	Mr. Devon Morales	231 N PINE AVE	Chicago	Illinois	60644	7735340660	7735340667	http://cps.edu/Schools/Pages/school.aspx?SchoolID=610518	http://www.ACCAChicago.org		https://twitter.com/ACCAChicago			N	"9,10,11,12"	41893	223	216	64	3	215	5	1	0	1	0	0	1	0	0	There are 223 students enrolled at AUSTIN CCA HS.  96.9% are Low Income Students.  28.7% are Diverse Learners.  1.3% are Limited English Learners.	The largest demographic at AUSTIN CCA HS is Black.  This demographic makes up 96.4% of the student population.  The second greatest demographic is Hispanic at 2.2%.	Generally accessible	N			8:40 AM - 3:53 PM	8:40 AM - 3:53 PM	4:00 PM - 7:00 PM	0.329861111	Spanish	Y	N	Y						"20, 57, 85"	Green		41.885993	-87.761916	14.6	18.4	40	57.9	70.9	73.5	Level 3	Intensive Support	"This school received a Level 3 rating, which is the lowest rating of academic performance at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp ."	These schools limit their student populations to 600. This provides a more intimate and personalized learning experience.	School Year 2016-2017	Dean of Students	Mr. John Robinson	Counselor	Dr. Erica Jordan	Tech Coordinator/Programmer	Mr. Daniel Staley	Manufacturing Program Director	Mrs. Erica Swinney-Staley	Office Manager	Portia Boyd	"231 N PINE AVE
Chicago, Illinois 60644
(41.885993, -87.761916)"	41.88599	-87.76191
400077	3061	66112	U OF C - WOODLAWN HS	University of Chicago - Woodlawn	Charter	HS	Y	Y	Y	N	"Woodlawn 100% college acceptanceÂ five consecutive years in a row. Highest college persistence, any non-selective high school. Woodlawn offers rich and rigorous curriculum, includingÂ  Logic Engineering, Computer Science, and AP courses. Strong scholarship record including Posse Foundation,Gates Millennium,University of Chicago. University of Chicago partnerships and unique resources. Dedicated college office with alumni network. Alumni attend Stanford,University of Chicago,Oberlin,UIUC, University of Missouri,Howard just to name a few. Woodlawn has diverse extracurriculars and enrichment, including football,basketball, dance,fine arts, exploratory learning. Integrated Woodlawn Middle and High School Campus.Pre-K to 12 Superhighway UChicago Charter School"	Director	Ms.Mary Bradley	Middlee School Director	Sonia Wang	6420 S UNIVERSITY AVE	Chicago	Illinois	60637	7737528101	7733240653	http://cps.edu/Schools/Pages/school.aspx?SchoolID=400077	http://www.uchicagocharter.org/page.cfm?p=519	https://www.facebook.com/UCCharterSchool	http://twitter.com/UCCharterSchool	http://www.youtube.com/watch?v=ZQHE1_nnaS8		Y	"6,7,8,9,10,11,12"	41801	635	533	104	2	620	8	0	0	1	0	0	4	0	2	There are 635 students enrolled at U OF C - WOODLAWN HS.  83.9% are Low Income Students.  16.4% are Diverse Learners.  0.3% are Limited English Learners.	The largest demographic at U OF C - WOODLAWN HS is Black.  This demographic makes up 97.6% of the student population.  The second greatest demographic is Hispanic at 1.3%.	Generally accessible	Y			8:00 AM-3:40 PM	8:00 a.m. - 3:40 p.m.	3:40 PM -5:15PM	0.3125		N	N	Y						"63, 6"	Green	Metra Electric District (ME)	41.77813	-87.598114	17.2	18.4	80.4	57.9	76.3	73.5	Level 1	Not Applicable	"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp ."	"Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable."	School Year 2016-2017	Assistant High School Director	Bosede Bada	Operations Manger	Latasha McMillion	Admissions Director	Carla Scott					"6420 S UNIVERSITY AVE
Chicago, Illinois 60637
(41.77813, -87.598114)"	41.77813	-87.59811
