NEIGHBORHOOD,PRED_NON_ENG_LANG,PRED_NON_ENG_PERCENT
ROGERS PARK,SPANISH,0.10
WEST RIDGE,SPANISH,0.09
UPTOWN,SPANISH,0.05
LINCOLN SQUARE,SPANISH,0.08
NORTH CENTER,SPANISH,0.04
LAKE VIEW,SPANISH,0.02
LINCOLN PARK,SPANISH,0.01
NEAR NORTH SIDE,SPANISH,0.01
EDISON PARK,POLISH,0.02
NORWOOD PARK,POLISH,0.07
JEFFERSON PARK,POLISH,0.08
FOREST GLEN,POLISH,0.01
NORTH PARK,SPANISH,0.06
ALBANY PARK,SPANISH,0.29
PORTAGE PARK,SPANISH,0.12
IRVING PARK,SPANISH,0.19
DUNNING,POLISH,0.15
MONTCLAIRE,SPANISH,0.17
BELMONT CRAGIN,SPANISH,0.33
HERMOSA,SPANISH,0.38
AVONDALE,SPANISH,0.32
LOGAN SQUARE,SPANISH,0.21
HUMBOLDT PARK,SPANISH,0.18
WEST TOWN,SPANISH,0.10
AUSTIN,SPANISH,0.03
WEST GARFIELD PARK,SPANISH,0.00
EAST GARFIELD PARK,SPANISH,0.00
NEAR WEST SIDE,SPANISH,0.02
NORTH LAWNDALE,SPANISH,0.02
SOUTH LAWNDALE,SPANISH,0.44
LOWER WEST SIDE,SPANISH,0.40
LOOP,CHINESE,0.02
NEAR SOUTH SIDE,CHINESE,0.02
ARMOUR SQUARE,CHINESE,0.45
DOUGLAS,CHINESE,0.03
OAKLAND,SPANISH,0.02
FULLER PARK,SPANISH,0.03
GRAND BOULEVARD,SPANISH,0.01
KENWOOD,SPANISH,0.01
WASHINGTON PARK,SPANISH,0.01
HYDE PARK,CHINESE,0.02
WOODLAWN,SPANISH,0.01
SOUTH SHORE,SPANISH,0.01
CHATHAM,SPANISH,0.00
AVALON PARK,AFRICAN LANGUAGES,0.00
SOUTH CHICAGO,SPANISH,0.09
BURNSIDE,AFRICAN LANGUAGES,0.01
CALUMET HEIGHTS,SPANISH,0.01
ROSELAND,SPANISH,0.00
PULLMAN,SPANISH,0.04
SOUTH DEERING,SPANISH,0.10
EAST SIDE,SPANISH,0.26
WEST PULLMAN,SPANISH,0.02
RIVERDALE,SPANISH,0.01
HEGEWISCH,SPANISH,0.06
GARFIELD RIDGE,SPANISH,0.10
ARCHER HEIGHTS,SPANISH,0.32
BRIGHTON PARK,SPANISH,0.38
MCKINLEY PARK,SPANISH,0.24
BRIDGEPORT,CHINESE,0.20
NEW CITY,SPANISH,0.27
WEST ELSDON,SPANISH,0.31
GAGE PARK,SPANISH,0.45
CLEARING,SPANISH,0.13
WEST LAWN,SPANISH,0.30
CHICAGO LAWN,SPANISH,0.19
WEST ENGLEWOOD,SPANISH,0.01
ENGLEWOOD,SPANISH,0.00
GREATER GRAND CROSSING,SPANISH,0.00
ASHBURN,SPANISH,0.12
AUBURN GRESHAM,SPANISH,0.00
BEVERLY,SPANISH,0.01
WASHINGTON HEIGHTS,SPANISH,0.00
MOUNT GREENWOOD,SPANISH,0.01
MORGAN PARK,SPANISH,0.01
O'HARE,POLISH,0.12
EDGEWATER,SPANISH,0.05
