NEIGHBORHOOD,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX
WOODLAWN,0.029,0.307,0.234,0.165,0.361,18672,58
WEST TOWN,0.023,0.147,0.066,0.129,0.217,43198,10
WEST RIDGE,0.078,0.172,0.088,0.208,0.385,23040,46
WEST PULLMAN,0.033,0.259,0.194,0.205,0.421,16563,62
WEST LAWN,0.058,0.149,0.096,0.336,0.396,16907,56
WEST GARFIELD PARK,0.094,0.417,0.258,0.245,0.436,10934,92
WEST ENGLEWOOD,0.048,0.344,0.359,0.263,0.407,11317,89
WEST ELSDON,0.111,0.156,0.167,0.37,0.377,15754,69
WASHINGTON PARK,0.056,0.421,0.286,0.254,0.428,13785,88
WASHINGTON HEIGHTS,0.011,0.169,0.208,0.137,0.426,19713,48
UPTOWN,0.038,0.24,0.089,0.118,0.222,35787,20
SOUTH SHORE,0.028,0.311,0.2,0.14,0.357,19398,55
SOUTH LAWNDALE,0.152,0.307,0.158,0.548,0.338,10402,96
SOUTH DEERING,0.04,0.292,0.163,0.21,0.395,14685,65
SOUTH CHICAGO,0.047,0.298,0.197,0.266,0.411,16579,75
ROSELAND,0.025,0.198,0.203,0.169,0.412,17949,52
ROGERS PARK,0.077,0.236,0.087,0.182,0.275,23939,39
RIVERDALE,0.058,0.565,0.346,0.275,0.515,8201,98
PULLMAN,0.015,0.216,0.228,0.131,0.386,20588,51
PORTAGE PARK,0.041,0.116,0.126,0.193,0.34,24336,35
OAKLAND,0.013,0.397,0.287,0.184,0.404,19252,78
O'HARE,0.036,0.154,0.071,0.109,0.303,25828,24
NORWOOD PARK,0.02,0.054,0.09,0.115,0.395,32875,21
NORTH PARK,0.039,0.132,0.099,0.144,0.39,26576,33
NORTH LAWNDALE,0.074,0.431,0.212,0.276,0.427,12034,87
NORTH CENTER,0.003,0.075,0.052,0.045,0.262,57123,6
NEW CITY,0.119,0.29,0.23,0.415,0.389,12765,91
NEAR WEST SIDE,0.038,0.206,0.107,0.096,0.222,44689,15
NEAR SOUTH SIDE,0.013,0.138,0.049,0.074,0.218,59077,7
NEAR NORTH SIDE,0.019,0.129,0.07,0.025,0.226,88669,1
MOUNT GREENWOOD,0.01,0.034,0.087,0.043,0.368,34381,16
MORGAN PARK,0.008,0.132,0.15,0.108,0.403,27149,30
MONTCLAIRE,0.081,0.153,0.138,0.235,0.386,22014,50
MCKINLEY PARK,0.072,0.187,0.134,0.329,0.356,16954,61
LOWER WEST SIDE,0.096,0.258,0.158,0.407,0.326,16444,76
LOOP,0.015,0.147,0.057,0.031,0.135,65526,3
LOGAN SQUARE,0.032,0.168,0.082,0.148,0.262,31908,23
LINCOLN SQUARE,0.034,0.109,0.082,0.134,0.255,37524,17
LINCOLN PARK,0.008,0.123,0.051,0.036,0.215,71551,2
LAKE VIEW,0.011,0.114,0.047,0.026,0.17,60058,5
KENWOOD,0.024,0.217,0.157,0.113,0.354,35911,26
JEFFERSON PARK,0.027,0.086,0.124,0.134,0.355,27751,25
IRVING PARK,0.063,0.131,0.1,0.224,0.316,27249,34
HYDE PARK,0.015,0.184,0.084,0.043,0.262,39056,14
HUMBOLDT PARK,0.148,0.339,0.173,0.354,0.38,13781,85
HERMOSA,0.069,0.205,0.131,0.416,0.364,15089,71
HEGEWISCH,0.033,0.171,0.096,0.192,0.429,22677,44
GREATER GRAND CROSSING,0.036,0.296,0.23,0.165,0.41,17285,66
GRAND BOULEVARD,0.033,0.293,0.243,0.159,0.395,23472,57
GARFIELD RIDGE,0.026,0.088,0.113,0.193,0.381,26353,32
GAGE PARK,0.158,0.234,0.182,0.515,0.388,12171,93
FULLER PARK,0.032,0.512,0.339,0.266,0.449,10432,97
FOREST GLEN,0.011,0.075,0.068,0.049,0.405,44164,11
ENGLEWOOD,0.038,0.466,0.28,0.285,0.425,11888,94
EDISON PARK,0.011,0.033,0.065,0.074,0.353,40959,8
EDGEWATER,0.041,0.182,0.092,0.097,0.238,33385,19
EAST SIDE,0.068,0.192,0.121,0.319,0.428,17104,64
EAST GARFIELD PARK,0.082,0.424,0.196,0.213,0.432,12961,83
DUNNING,0.052,0.106,0.1,0.162,0.336,26282,28
DOUGLAS,0.018,0.296,0.182,0.143,0.307,23791,47
CLEARING,0.027,0.089,0.095,0.188,0.376,25113,29
CHICAGO LAWN,0.076,0.279,0.171,0.312,0.406,13231,80
CHATHAM,0.033,0.278,0.24,0.145,0.403,18881,60
CALUMET HEIGHTS,0.021,0.115,0.2,0.11,0.44,28887,38
BURNSIDE,0.068,0.33,0.186,0.193,0.427,12515,79
BRIGHTON PARK,0.144,0.236,0.139,0.451,0.393,13089,84
BRIDGEPORT,0.045,0.189,0.137,0.222,0.313,22694,43
BEVERLY,0.009,0.051,0.08,0.037,0.405,39523,12
BELMONT CRAGIN,0.108,0.187,0.146,0.373,0.373,15461,70
AVONDALE,0.06,0.153,0.092,0.247,0.31,20039,42
AVALON PARK,0.014,0.172,0.211,0.106,0.393,24454,41
AUSTIN,0.063,0.286,0.226,0.244,0.379,15957,73
AUBURN GRESHAM,0.04,0.276,0.283,0.185,0.419,15528,74
ASHBURN,0.04,0.104,0.117,0.177,0.369,23482,37
ARMOUR SQUARE,0.057,0.401,0.167,0.345,0.383,16148,82
ARCHER HEIGHTS,0.085,0.141,0.165,0.359,0.392,16134,67
ALBANY PARK,0.113,0.192,0.1,0.329,0.32,21323,53
