School_ID,School_Type,Student_Count_Total,ADA_Accessible,Dress_Code,Bilingual_Services,Refugee_Services,Title_1_Eligible,Average_ACT_School,College_Enrollment_Rate_School,Graduation_Rate_School,Overall_Rating,Rating_Status,Student_Growth_Rating,Student_Attainment_Rating,Culture_Climate_Rating,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Growth_ACT_Grade_11_Pct,Attainment_ACT_Grade_11_Pct,Freshmen_On_Track_School_Pct_Year_2,College_Persistence_School_Pct_Year_2,Supportive_School_Award,lib_cnt,Neighborhood Name,PRED_NON_ENG_LANG,PRED_NON_ENG_PERCENT,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,Suspensions_Per_100_Students_Change,Misconducts_To_Suspensions_Change,Student_Attendance_Change,Teacher_Attendance_Change,One_Year_Dropout_Rate_Change,Student_Low_Income_Pct,Student_Special_Ed_Pct,Student_English_Learners_Pct,Student_Black_Pct,Student_Hispanic_Pct,Student_White_Pct,Student_Asian_Pct
609764,Neighborhood,1739,Generally accessible,N,Y,Y,Y,16.5,50.6,80.9,Level 2+,Good Standing,BELOW AVERAGE,BELOW AVERAGE,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,STRONG,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,-1.0,19.0,81.5,64.4,Coming Soon,6,LOWER WEST SIDE,SPANISH,0.4,0.096,0.258,0.158,0.407,0.326,16444,76,2.5999999999999996,-0.10000000000000142,-0.29999999999999716,4.799999999999997,-0.39999999999999947,0.9539965497412306,0.16158711903392756,0.19033927544565843,0.03335250143760782,0.9453709028177113,0.006900517538815411,0.002875215641173088
400054,Charter,992,Generally accessible,Y,N,N,Y,21.9,85.7,90.3,Level 1+,Not Applicable,FAR ABOVE AVERAGE,ABOVE AVERAGE,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,NEUTRAL,VERY STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,3.8,74.0,87.6,70.8,Coming Soon,4,HERMOSA,SPANISH,0.38,0.069,0.205,0.131,0.416,0.364,15089,71,0.0,0.0,0.6000000000000085,0.0,-0.8000000000000003,0.9435483870967742,0.10685483870967742,0.12096774193548387,0.03024193548387097,0.9526209677419355,0.009072580645161291,0.0010080645161290322
609726,Selective enrollment,959,Fully Accessible,N,N,N,Y,22.5,85.1,93.4,Level 1+,Good Standing,ABOVE AVERAGE,ABOVE AVERAGE,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.6,80.0,94.4,88.0,Coming Soon,3,ROSELAND,SPANISH,0.0,0.025,0.198,0.203,0.16899999999999998,0.412,17949,52,-3.2,-5.9,0.0,4.700000000000003,-1.2000000000000002,0.721584984358707,0.061522419186652764,0.0020855057351407717,0.7893639207507821,0.18248175182481752,0.0072992700729927005,0.0010427528675703858
400094,Charter,523,Generally accessible,Y,Y,N,Y,17.5,72.7,69.9,Level 1+,Not Applicable,FAR ABOVE AVERAGE,BELOW AVERAGE,ORGANIZED,STRONG,STRONG,STRONG,WEAK,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,1.9,28.0,91.6,69.4,Coming Soon,2,SOUTH CHICAGO,SPANISH,0.09,0.047,0.298,0.197,0.266,0.411,16579,75,0.0,0.0,-0.9000000000000057,0.0,0.6000000000000001,0.9388145315487572,0.2237093690248566,0.13766730401529637,0.6328871892925431,0.35564053537284895,0.0038240917782026767,0.0
609755,Selective enrollment,2156,Generally accessible,N,Y,N,N,27.9,85.2,96.2,Level 1+,Good Standing,FAR ABOVE AVERAGE,FAR ABOVE AVERAGE,WELL ORGANIZED,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,1.8,99.0,97.9,93.4,Coming Soon,7,NEAR WEST SIDE,SPANISH,0.02,0.038,0.206,0.107,0.096,0.222,44689,15,0.5999999999999999,3.3999999999999986,-0.5999999999999943,4.700000000000003,0.6000000000000001,0.413265306122449,0.06679035250463822,0.010667903525046383,0.21382189239332097,0.2987012987012987,0.2824675324675325,0.1590909090909091
609756,Magnet,2924,Generally accessible,N,Y,N,Y,17.4,65.8,76.0,Level 2+,Good Standing,BELOW AVERAGE,BELOW AVERAGE,ORGANIZED,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-1.1,27.0,71.7,74.7,Emerging,5,ARCHER HEIGHTS,SPANISH,0.32,0.085,0.141,0.165,0.359,0.392,16134,67,1.0999999999999996,-20.6,-0.3999999999999915,4.200000000000003,-0.7999999999999998,0.9278385772913816,0.10601915184678523,0.11080711354309165,0.13098495212038302,0.8129274965800274,0.02188782489740082,0.025991792065663474
610518,Small,223,Generally accessible,N,Y,N,Y,14.6,40.0,70.9,Level 3,Intensive Support,BELOW AVERAGE,FAR BELOW AVERAGE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,WEAK,NEUTRAL,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.9,7.0,55.6,47.6,Coming Soon,4,AUSTIN,SPANISH,0.03,0.063,0.28600000000000003,0.226,0.244,0.379,15957,73,-16.0,-2.8000000000000007,4.599999999999994,4.799999999999997,-3.4000000000000004,0.968609865470852,0.28699551569506726,0.013452914798206279,0.9641255605381166,0.02242152466367713,0.004484304932735426,0.0
400077,Charter,635,Generally accessible,Y,N,N,Y,17.2,80.4,76.3,Level 1,Not Applicable,ABOVE AVERAGE,BELOW AVERAGE,WELL ORGANIZED,STRONG,NEUTRAL,VERY STRONG,STRONG,STRONG,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.9,25.0,82.0,84.6,Coming Soon,2,WOODLAWN,SPANISH,0.01,0.029,0.307,0.234,0.165,0.361,18672,58,0.0,0.0,2.0,0.0,5.3999999999999995,0.8393700787401575,0.16377952755905512,0.0031496062992125984,0.9763779527559056,0.012598425196850394,0.0,0.0
400056,Charter,474,Fully Accessible,Y,Y,N,Y,18.5,76.9,82.4,Level 2+,Not Applicable,FAR ABOVE AVERAGE,BELOW AVERAGE,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,VERY STRONG,WEAK,NEUTRAL,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,1.6,39.0,65.3,70.9,Coming Soon,3,HUMBOLDT PARK,SPANISH,0.18,0.14800000000000002,0.339,0.173,0.354,0.38,13781,85,0.0,0.0,0.6999999999999886,0.0,5.1,0.930379746835443,0.2468354430379747,0.05907172995780591,0.7510548523206751,0.23839662447257384,0.002109704641350211,0.002109704641350211
610394,Small,245,Generally accessible,N,Y,N,Y,15.6,65.4,74.3,Level 2+,Good Standing,BELOW AVERAGE,BELOW AVERAGE,WELL ORGANIZED,NEUTRAL,STRONG,STRONG,NEUTRAL,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-1.3,12.0,85.1,59.6,Coming Soon,4,UPTOWN,SPANISH,0.05,0.038,0.24,0.08900000000000001,0.118,0.222,35787,20,-8.600000000000001,-36.5,0.4000000000000057,3.0999999999999943,-3.1999999999999997,0.9346938775510204,0.363265306122449,0.10204081632653061,0.8,0.13877551020408163,0.024489795918367346,0.02040816326530612
